label,perc
beverly nelson accusations,0.002
bannon trump's strategist,0.002
bannon threats ha-ha,0.002
ayatollah alabama marries,0.002
announce intends alabama,0.002
american spectator pro,0.002
amazon washington dime,0.002
allred beverly nelson,0.002
alleged child molester,0.002
allegations sexually assaulted,0.002
allegations moore sexually,0.002
allegations moore republican,0.002
allegations misconduct minors,0.002
allegations misconduct assault,0.002
allegations decades-old misconduct,0.002
allegations alabama senate,0.002
alabamians roy moore,0.002
alabama senate nominee,0.002
alabama senate judge,0.002
alabama marries judicial,0.002
alabama democrat senate,0.002
accusation alabama senate,0.002
"500,000 roy moore",0.002
zygotes embryos fetuses,0.001
zones roy moore,0.001
ziegler washington examiner,0.001
zeldin staunch referring,0.001
zeigler moore biblical,0.001
zealotry trump's honorary,0.001
zach montellaro elena,0.001
zach montellaro daniel,0.001
young-nelson moore kissed,0.001
yonat shimron explored,0.001
ymca inappropriate soliciting,0.001
yellows moore moore,0.001
yearbook tur client,0.001
yearbook sweeter merry,0.001
yearbook phillip jauregui,0.001
yearbook moore's accusers,0.001
yearbook moore inscription,0.001
yearbook inscription moore's,0.001
yearbook forgery montgomery,0.001
yearbook beverly nelson,0.001
yearbook allegedly roy,0.001
year's presidential decisively,0.001
year's presidential brooks,0.001
yeah roy moore,0.001
yappy alabama huntsville,0.001
wrongdoing reuters independently,0.001
writer moore's mitch,0.001
writer jonah goldberg,0.001
writer david horowitz,0.001
write-in supports moore,0.001
write-in roy moore,0.001
write-in republican moore,0.001
write-in candidacy gop,0.001
write-in campaign believing,0.001
write-in 1.5 moore,0.001
wright millwright roy,0.001
worst-case scenario republicans,0.001
women's ado moore,0.001
wolf republicans judge,0.001
woke reject roy,0.001
withdrawn gop senate,0.001
withdraw nominee moore,0.001
withdraw allegations sexually,0.001
withdraw alabama senate,0.001
withdraw alabama bannon's,0.001
witch staged democrats,0.001
wisconsin businessman paul,0.001
wisconsin accusations moore,0.001
wins trump clinton,0.001
wins election senate,0.001
wins doug jones's,0.001
winner state's senate,0.001
winner moore reuters,0.001
