label,perc
roy moore advances,0.002
roger ailes o'reilly,0.002
republicans elect roy,0.002
republicans alabama senate,0.002
republican senatorial roy,0.002
republican senate nominee,0.002
republican roy moore's,0.002
republican endorsed roy,0.002
repeatedly preyed campaigns,0.002
refusal tax republican,0.002
referring moore groping,0.002
referring donald trump,0.002
recognition tarana burke,0.002
rally fairhope ala,0.002
pursuing assaulting teenage,0.002
propensity deceive manipulate,0.002
profile trump's misconduct,0.002
preyed campaigns senate,0.002
prevalence harassment assault,0.002
polls jones moore,0.002
people's shattered allegation,0.002
overturn 1.6- politician,0.002
oval repeatedly preyed,0.002
oreskes weinstein roy,0.002
opponent democrat doug,0.002
oak hollow farms,0.002
nominee alabama misconduct,0.002
mouths roy moore,0.002
moore teenager district,0.002
moore sexually abusing,0.002
moore senate democrats,0.002
moore roy moore,0.002
moore pursuing assaulting,0.002
moore pursued teenagers,0.002
moore pursued 30s,0.002
moore overturn 1.6-,0.002
moore oak hollow,0.002
moore groping harassing,0.002
moore franken john,0.002
moore fairhope rally,0.002
moore election democrat,0.002
moore arrives senate,0.002
moore alabama's senate,0.002
moore alabama election,0.002
misconduct allegations producer,0.002
media roy moore,0.002
louis halperin donald,0.002
jones election senate,0.002
jones crushing trump,0.002
john conyers clinton,0.002
ingrained women's propensity,0.002
hollow farms fairhope,0.002
harvey weinstein scandal,0.002
harassing pursuing teenagers,0.002
handmaids accusers mouths,0.002
groping harassing pursuing,0.002
grace profile trump's,0.002
gibson's washington dated,0.002
franken referring donald,0.002
franken john conyers,0.002
farms fairhope alabama,0.002
fairhope alabama pic.twitter.com/uieupiyfnn,0.002
endorsed alabama senate,0.002
doug jones senate,0.002
doug jones republicans,0.002
doug jones moore,0.002
doug jones defeated,0.002
doug jones crushing,0.002
doubting age-old celebration,0.002
donald trump roy,0.002
donald trump republican,0.002
donald trump alabama,0.002
democrats refusal tax,0.002
defeated doug jones,0.002
dated moore teenager,0.002
crushing trump credibility,0.002
credibly child molester,0.002
credible allegations harassment,0.002
credibility moore's candidacy,0.002
conyers clinton louis,0.002
clinton louis halperin,0.002
celebration women's ingrained,0.002
campaigns senate franken,0.002
allegations producer harvey,0.002
allegations moore trump,0.002
allegations alabama senate,0.002
alabama's roy moore,0.002
alabama unwanted advances,0.002
alabama senate judge,0.002
alabama senate hopeful,0.002
alabama gop senate,0.002
alabama doug jones,0.002
alabama credibly child,0.002
age-old celebration women's,0.002
advances teenagers 30s,0.002
accusers mouths roy,0.002
1.6- politician gop,0.002
zahara ebony hashtag,0.001
youtube clip nelson,0.001
yougov poll alabama,0.001
yorker pulitzer reporting,0.001
yorker pulitzer harvey,0.001
yorker hashtag rallying,0.001
yguado oversee programming,0.001
yearbook signature moore's,0.001
yearbook roy moore,0.001
yearbook offerred signature,0.001
yearbook inscription nelson,0.001
year-high pew fend,0.001
year's year's year's,0.001
year's virginia delegates,0.001
year's galvanized avalanche,0.001
yahoo solidarity leigh,0.001
wrongdoings senate roy,0.001
wrongdoing democratic permissive,0.001
writer streiff moore,0.001
workplace trump's impropriety,0.001
workplace survivors rally,0.001
workplace priority lawmakers,0.001
workplace metoo survivors,0.001
workplace hashtag media,0.001
workplace harassment cathartic,0.001
wong getty moore,0.001
women's washington misconduct,0.001
women's suffragette secured,0.001
women's gop pushing,0.001
women's gender equity,0.001
women's forum's skepticism,0.001
women's conservative women's,0.001
women's campaign downfall,0.001
women's campaign ads,0.001
women's allegations campaign,0.001
women's alabama senate,0.001
women's accusations credible,0.001
wolves embarrass republicans,0.001
wolf trump's correspondents,0.001
wnyc vox prelude,0.001
withdrawn alabama senate,0.001
withdrawing funding republican,0.001
withdraw republican withdrawing,0.001
witch-hunters correctness frenzy,0.001
witch witch-hunters correctness,0.001
wishy-washy sparked fierce,0.001
wireimage brenda gutierrez,0.001
winstead hashtag victims,0.001
wins senate wrench,0.001
wins senate expel,0.001
wins projecting trump,0.001
wins notably alabama,0.001
wins election miniature,0.001
wins alabama senate,0.001
winners losers election,0.001
winfrey's well-received globe,0.001
winfrey mogul lit,0.001
windsor castle american,0.001
willingness lawmakers confront,0.001
willingness criminal roy,0.001
willingness allegations expediency,0.001
williams alabama richard,0.001
wide-ranging philip rucker,0.001
who've mistreated prompted,0.001
who've behaved educational,0.001
western christmas alabama,0.001
wesson gibson alabama,0.001
well-received trump-loving district,0.001
well-received globe awards,0.001
well-known survivors tarana,0.001
welcomed senate franken,0.001
welcomed british royal,0.001
weinstein washington ignore,0.001
weinstein trump moore,0.001
weinstein spokeswoman holly,0.001
weinstein scandal reporting,0.001
weinstein scandal liberals,0.001
weinstein russian meddling,0.001
weinstein moore abuse,0.001
weinstein milano tweet,0.001
weinstein matt lauer,0.001
weinstein larry nassar,0.001
weinstein john conyers,0.001
weinstein harassed abused,0.001
weinstein disgraced exiled,0.001
weinstein cascade accusations,0.001
weinstein assaults victims,0.001
weinstein alleged misbehavior,0.001
weinstein allegations roy,0.001
weinstein allegations posting,0.001
weinstein allegations hashtag,0.001
weinstein allegations gop,0.001
weinstein allegations bipartisan,0.001
weinstein alabama senate,0.001
weiner directory silicon,0.001
weighs democrats calling,0.001
website franken martyr,0.001
weathered reminder shadow,0.001
weakened allegations full-on,0.001
watt sexually harassing,0.001
washington republicans roy,0.001
washington post's trump,0.001
washington moore roy,0.001
washington moore pursued,0.001
washington moore allegedly,0.001
washington moore alleged,0.001
washington media moore,0.001
washington leigh corfman,0.001
washington ford testified,0.001
washington fiasco alabama,0.001
washington fabricated moore,0.001
washington election trump's,0.001
washington democrats seize,0.001
washington democratic lawmakers,0.001
washington contacting moore,0.001
washington confront misconduct,0.001
